E2E:29155 CombineModels:809 ParamTune:19258 E2E:29155 PCA:8888
E2E:14392 CombineModels:42 ParamTune:7404 E2E:14392 PCA:6752
E2E:13061 CombineModels:73 ParamTune:5817 E2E:13061 PCA:6974
E2E:12279 CombineModels:47 ParamTune:4908 E2E:12279 PCA:7105
E2E:12505 CombineModels:47 ParamTune:5439 E2E:12505 PCA:6815
E2E:12294 CombineModels:47 ParamTune:5059 E2E:12294 PCA:6836
E2E:12871 CombineModels:46 ParamTune:5750 E2E:12871 PCA:6864
E2E:12078 CombineModels:42 ParamTune:4904 E2E:12078 PCA:6902
E2E:12261 CombineModels:57 ParamTune:5032 E2E:12261 PCA:6974
E2E:12525 CombineModels:59 ParamTune:5248 E2E:12525 PCA:6942
E2E:12387 CombineModels:45 ParamTune:5457 E2E:12387 PCA:6664
E2E:12949 CombineModels:82 ParamTune:5384 E2E:12949 PCA:7239
E2E:12786 CombineModels:53 ParamTune:5163 E2E:12786 PCA:7365
E2E:12330 CombineModels:42 ParamTune:5073 E2E:12330 PCA:7027
E2E:12068 CombineModels:58 ParamTune:5166 E2E:12068 PCA:6623
E2E:13169 CombineModels:47 ParamTune:6041 E2E:13169 PCA:6849
E2E:11680 CombineModels:43 ParamTune:4828 E2E:11680 PCA:6597
E2E:12282 CombineModels:44 ParamTune:4979 E2E:12282 PCA:7041
E2E:12648 CombineModels:48 ParamTune:5688 E2E:12648 PCA:6705
E2E:16004 CombineModels:52 ParamTune:8857 E2E:16004 PCA:6839
E2E:12720 CombineModels:47 ParamTune:5779 E2E:12720 PCA:6679
E2E:12783 CombineModels:41 ParamTune:5694 E2E:12783 PCA:6776
E2E:12029 CombineModels:43 ParamTune:5126 E2E:12029 PCA:6673
E2E:12694 CombineModels:45 ParamTune:5356 E2E:12694 PCA:7091
E2E:12484 CombineModels:49 ParamTune:5235 E2E:12484 PCA:6929
E2E:12956 CombineModels:63 ParamTune:5808 E2E:12956 PCA:6870
E2E:12695 CombineModels:42 ParamTune:5393 E2E:12695 PCA:7049
E2E:12536 CombineModels:48 ParamTune:5279 E2E:12536 PCA:6985
E2E:13383 CombineModels:62 ParamTune:5779 E2E:13383 PCA:7312
E2E:12334 CombineModels:76 ParamTune:5123 E2E:12334 PCA:6914
E2E:12570 CombineModels:45 ParamTune:5152 E2E:12570 PCA:7163
E2E:12144 CombineModels:37 ParamTune:4970 E2E:12144 PCA:6907
E2E:12420 CombineModels:53 ParamTune:5367 E2E:12420 PCA:6785
E2E:12082 CombineModels:44 ParamTune:5071 E2E:12082 PCA:6771
E2E:12187 CombineModels:42 ParamTune:5179 E2E:12187 PCA:6759
E2E:12407 CombineModels:50 ParamTune:5390 E2E:12407 PCA:6753
E2E:12500 CombineModels:46 ParamTune:5354 E2E:12500 PCA:6875
E2E:12093 CombineModels:43 ParamTune:4947 E2E:12093 PCA:6872
E2E:12342 CombineModels:51 ParamTune:5140 E2E:12342 PCA:6946
E2E:12969 CombineModels:36 ParamTune:5867 E2E:12969 PCA:6844
E2E:12336 CombineModels:51 ParamTune:5180 E2E:12336 PCA:6911
E2E:13358 CombineModels:61 ParamTune:6270 E2E:13358 PCA:6807
E2E:12720 CombineModels:77 ParamTune:5760 E2E:12720 PCA:6657
E2E:13594 CombineModels:47 ParamTune:6175 E2E:13594 PCA:7188
E2E:12024 CombineModels:42 ParamTune:4893 E2E:12024 PCA:6882
E2E:13383 CombineModels:44 ParamTune:6199 E2E:13383 PCA:6890
E2E:11910 CombineModels:38 ParamTune:4909 E2E:11910 PCA:6780
E2E:13343 CombineModels:48 ParamTune:6122 E2E:13343 PCA:6945
E2E:12596 CombineModels:40 ParamTune:5170 E2E:12596 PCA:7171
E2E:12773 CombineModels:43 ParamTune:5526 E2E:12773 PCA:6998
E2E:12683 CombineModels:51 ParamTune:5668 E2E:12683 PCA:6748
E2E:12705 CombineModels:55 ParamTune:5687 E2E:12705 PCA:6738
E2E:12156 CombineModels:56 ParamTune:5028 E2E:12156 PCA:6829
E2E:12930 CombineModels:41 ParamTune:5923 E2E:12930 PCA:6739
E2E:12606 CombineModels:45 ParamTune:5569 E2E:12606 PCA:6781
E2E:12733 CombineModels:52 ParamTune:5669 E2E:12733 PCA:6799
E2E:12931 CombineModels:45 ParamTune:5724 E2E:12931 PCA:6937
E2E:13062 CombineModels:34 ParamTune:5807 E2E:13062 PCA:7050
E2E:12894 CombineModels:43 ParamTune:5599 E2E:12894 PCA:7048
E2E:12538 CombineModels:52 ParamTune:5232 E2E:12538 PCA:7041
E2E:12387 CombineModels:46 ParamTune:5035 E2E:12387 PCA:7055
E2E:12734 CombineModels:61 ParamTune:5696 E2E:12734 PCA:6751
E2E:13008 CombineModels:41 ParamTune:5559 E2E:13008 PCA:7183
E2E:12215 CombineModels:44 ParamTune:5011 E2E:12215 PCA:6947
E2E:13217 CombineModels:41 ParamTune:5927 E2E:13217 PCA:7026
E2E:12173 CombineModels:46 ParamTune:4873 E2E:12173 PCA:7034
E2E:13398 CombineModels:43 ParamTune:5602 E2E:13398 PCA:7525
E2E:12189 CombineModels:39 ParamTune:5118 E2E:12189 PCA:6830
E2E:12482 CombineModels:41 ParamTune:5735 E2E:12482 PCA:6514
E2E:12797 CombineModels:44 ParamTune:5326 E2E:12797 PCA:7219
E2E:12342 CombineModels:48 ParamTune:5213 E2E:12342 PCA:6851
E2E:12720 CombineModels:60 ParamTune:5641 E2E:12720 PCA:6809
E2E:11777 CombineModels:41 ParamTune:4893 E2E:11777 PCA:6634
E2E:12262 CombineModels:40 ParamTune:5238 E2E:12262 PCA:6738
E2E:12362 CombineModels:50 ParamTune:5360 E2E:12362 PCA:6752
E2E:12170 CombineModels:50 ParamTune:5015 E2E:12170 PCA:6926
E2E:12634 CombineModels:46 ParamTune:5609 E2E:12634 PCA:6753
E2E:12171 CombineModels:57 ParamTune:5020 E2E:12171 PCA:6879
E2E:13695 CombineModels:41 ParamTune:6398 E2E:13695 PCA:7040
E2E:12313 CombineModels:43 ParamTune:5037 E2E:12313 PCA:7013
E2E:12002 CombineModels:135 ParamTune:4883 E2E:12002 PCA:6767
E2E:12518 CombineModels:41 ParamTune:5580 E2E:12518 PCA:6660
E2E:12359 CombineModels:44 ParamTune:5399 E2E:12359 PCA:6699
E2E:12528 CombineModels:46 ParamTune:5529 E2E:12528 PCA:6737
E2E:12928 CombineModels:43 ParamTune:5992 E2E:12928 PCA:6663
E2E:12327 CombineModels:69 ParamTune:5335 E2E:12327 PCA:6721
E2E:12864 CombineModels:41 ParamTune:5859 E2E:12864 PCA:6767
E2E:12613 CombineModels:37 ParamTune:5507 E2E:12613 PCA:6809
E2E:12473 CombineModels:42 ParamTune:5310 E2E:12473 PCA:6919
E2E:11924 CombineModels:46 ParamTune:4972 E2E:11924 PCA:6672
E2E:12106 CombineModels:51 ParamTune:5126 E2E:12106 PCA:6712
E2E:13114 CombineModels:41 ParamTune:4901 E2E:13114 PCA:7964
E2E:12280 CombineModels:54 ParamTune:5267 E2E:12280 PCA:6741
E2E:12788 CombineModels:48 ParamTune:5643 E2E:12788 PCA:6840
E2E:11813 CombineModels:50 ParamTune:4913 E2E:11813 PCA:6658
E2E:12446 CombineModels:62 ParamTune:5337 E2E:12446 PCA:6841
E2E:12605 CombineModels:41 ParamTune:5541 E2E:12605 PCA:6814
E2E:12341 CombineModels:48 ParamTune:5119 E2E:12341 PCA:6955
E2E:12619 CombineModels:57 ParamTune:5390 E2E:12619 PCA:6925
E2E:13376 CombineModels:46 ParamTune:5692 E2E:13376 PCA:7223
E2E:12897 CombineModels:42 ParamTune:5797 E2E:12897 PCA:6838
E2E:12738 CombineModels:50 ParamTune:5740 E2E:12738 PCA:6709
E2E:12241 CombineModels:35 ParamTune:5243 E2E:12241 PCA:6788
E2E:11649 CombineModels:50 ParamTune:4755 E2E:11649 PCA:6638
E2E:12825 CombineModels:44 ParamTune:5505 E2E:12825 PCA:7045
E2E:12297 CombineModels:39 ParamTune:4892 E2E:12297 PCA:7116
E2E:12751 CombineModels:60 ParamTune:5549 E2E:12751 PCA:6905
E2E:11941 CombineModels:49 ParamTune:4808 E2E:11941 PCA:6780
E2E:12581 CombineModels:65 ParamTune:5140 E2E:12581 PCA:7184
E2E:12506 CombineModels:51 ParamTune:5371 E2E:12506 PCA:6883
E2E:11958 CombineModels:62 ParamTune:4947 E2E:11958 PCA:6713
E2E:12755 CombineModels:46 ParamTune:5503 E2E:12755 PCA:6995
E2E:12403 CombineModels:43 ParamTune:5482 E2E:12403 PCA:6677
E2E:12916 CombineModels:105 ParamTune:5573 E2E:12916 PCA:6885
E2E:13238 CombineModels:46 ParamTune:5882 E2E:13238 PCA:7086
E2E:12319 CombineModels:48 ParamTune:5115 E2E:12319 PCA:6955
E2E:12785 CombineModels:36 ParamTune:5634 E2E:12785 PCA:6842
E2E:12410 CombineModels:51 ParamTune:5158 E2E:12410 PCA:6957
E2E:12577 CombineModels:48 ParamTune:5133 E2E:12577 PCA:7145
E2E:13840 CombineModels:57 ParamTune:6627 E2E:13840 PCA:6903
E2E:11949 CombineModels:33 ParamTune:5204 E2E:11949 PCA:6547
E2E:12425 CombineModels:51 ParamTune:5222 E2E:12425 PCA:6825
E2E:13343 CombineModels:66 ParamTune:5814 E2E:13343 PCA:6801
E2E:12729 CombineModels:50 ParamTune:5295 E2E:12729 PCA:7146
E2E:12139 CombineModels:38 ParamTune:5097 E2E:12139 PCA:6820
E2E:12358 CombineModels:44 ParamTune:5174 E2E:12358 PCA:6942
E2E:13787 CombineModels:84 ParamTune:6604 E2E:13787 PCA:6880
E2E:11991 CombineModels:44 ParamTune:4890 E2E:11991 PCA:6846
E2E:12387 CombineModels:47 ParamTune:5440 E2E:12387 PCA:6675
E2E:13280 CombineModels:39 ParamTune:6221 E2E:13280 PCA:6845
E2E:11631 CombineModels:49 ParamTune:4835 E2E:11631 PCA:6540
E2E:12525 CombineModels:42 ParamTune:5447 E2E:12525 PCA:6785
E2E:12321 CombineModels:41 ParamTune:5304 E2E:12321 PCA:6775
E2E:12556 CombineModels:54 ParamTune:5337 E2E:12556 PCA:6828
E2E:18758 CombineModels:6168 ParamTune:5420 E2E:18758 PCA:6917
E2E:12577 CombineModels:48 ParamTune:5489 E2E:12577 PCA:6832
E2E:12263 CombineModels:40 ParamTune:5243 E2E:12263 PCA:6782
E2E:12375 CombineModels:68 ParamTune:5307 E2E:12375 PCA:6672
E2E:12508 CombineModels:43 ParamTune:5557 E2E:12508 PCA:6715
E2E:12992 CombineModels:42 ParamTune:5738 E2E:12992 PCA:6975
E2E:12009 CombineModels:51 ParamTune:5044 E2E:12009 PCA:6717
E2E:12315 CombineModels:41 ParamTune:5168 E2E:12315 PCA:6943
E2E:12640 CombineModels:47 ParamTune:5571 E2E:12640 PCA:6822
