E2E:31909 Classify:20843 Shuffle:357 Extract:2830 Split:4539 E2E:31909
E2E:67269 Classify:59064 Shuffle:46 Extract:328 Split:2430 E2E:67269
E2E:60447 Classify:52142 Shuffle:53 Extract:350 Split:2507 E2E:60447
E2E:60493 Classify:52187 Shuffle:49 Extract:550 Split:2493 E2E:60493
E2E:60579 Classify:52073 Shuffle:63 Extract:368 Split:2677 E2E:60579
E2E:60472 Classify:52116 Shuffle:59 Extract:368 Split:2575 E2E:60472
E2E:61488 Classify:53024 Shuffle:47 Extract:398 Split:2696 E2E:61488
E2E:60594 Classify:52110 Shuffle:80 Extract:478 Split:2659 E2E:60594
E2E:60578 Classify:52263 Shuffle:50 Extract:397 Split:2508 E2E:60578
E2E:60713 Classify:52370 Shuffle:51 Extract:298 Split:2473 E2E:60713
E2E:61480 Classify:52773 Shuffle:88 Extract:288 Split:2776 E2E:61480
E2E:60707 Classify:52404 Shuffle:51 Extract:461 Split:2488 E2E:60707
E2E:63342 Classify:54953 Shuffle:48 Extract:352 Split:2523 E2E:63342
E2E:61414 Classify:52598 Shuffle:47 Extract:319 Split:3037 E2E:61414
E2E:61618 Classify:53009 Shuffle:54 Extract:311 Split:2849 E2E:61618
E2E:61098 Classify:52799 Shuffle:50 Extract:334 Split:2485 E2E:61098
E2E:60378 Classify:52146 Shuffle:53 Extract:349 Split:2380 E2E:60378
E2E:60853 Classify:52074 Shuffle:110 Extract:370 Split:2798 E2E:60853
E2E:61357 Classify:52848 Shuffle:47 Extract:1136 Split:2678 E2E:61357
E2E:61029 Classify:52205 Shuffle:51 Extract:417 Split:2992 E2E:61029
E2E:60977 Classify:52455 Shuffle:41 Extract:343 Split:2779 E2E:60977
E2E:59864 Classify:51388 Shuffle:51 Extract:355 Split:2656 E2E:59864
E2E:60949 Classify:52515 Shuffle:68 Extract:366 Split:2573 E2E:60949
E2E:60712 Classify:52258 Shuffle:48 Extract:312 Split:2651 E2E:60712
E2E:61425 Classify:53761 Shuffle:43 Extract:316 Split:2496 E2E:61425
E2E:60353 Classify:51839 Shuffle:50 Extract:401 Split:2713 E2E:60353
E2E:61349 Classify:52878 Shuffle:63 Extract:384 Split:2618 E2E:61349
E2E:60903 Classify:52450 Shuffle:56 Extract:375 Split:2636 E2E:60903
E2E:61111 Classify:52741 Shuffle:56 Extract:327 Split:2543 E2E:61111
E2E:60590 Classify:52314 Shuffle:52 Extract:311 Split:2501 E2E:60590
E2E:60913 Classify:52492 Shuffle:62 Extract:302 Split:2571 E2E:60913
E2E:60710 Classify:52089 Shuffle:62 Extract:478 Split:2722 E2E:60710
E2E:60567 Classify:52075 Shuffle:46 Extract:354 Split:2670 E2E:60567
E2E:60718 Classify:52256 Shuffle:47 Extract:329 Split:2623 E2E:60718
E2E:61338 Classify:53093 Shuffle:136 Extract:347 Split:2390 E2E:61338
E2E:60665 Classify:52300 Shuffle:50 Extract:469 Split:2570 E2E:60665
E2E:61416 Classify:52968 Shuffle:47 Extract:649 Split:2596 E2E:61416
E2E:60818 Classify:52261 Shuffle:53 Extract:357 Split:2491 E2E:60818
E2E:61406 Classify:52944 Shuffle:48 Extract:520 Split:2698 E2E:61406
E2E:60863 Classify:52461 Shuffle:84 Extract:343 Split:2551 E2E:60863
E2E:61342 Classify:52913 Shuffle:49 Extract:399 Split:2603 E2E:61342
E2E:60636 Classify:52368 Shuffle:49 Extract:350 Split:2527 E2E:60636
E2E:60810 Classify:52733 Shuffle:48 Extract:608 Split:2303 E2E:60810
E2E:62124 Classify:54967 Shuffle:51 Extract:311 Split:2528 E2E:62124
E2E:67037 Classify:58278 Shuffle:48 Extract:433 Split:2779 E2E:67037
E2E:61052 Classify:52535 Shuffle:41 Extract:363 Split:2690 E2E:61052
E2E:62441 Classify:54031 Shuffle:66 Extract:1207 Split:2601 E2E:62441
E2E:67668 Classify:59145 Shuffle:66 Extract:414 Split:2644 E2E:67668
E2E:61502 Classify:53292 Shuffle:57 Extract:353 Split:2429 E2E:61502
E2E:60986 Classify:52568 Shuffle:52 Extract:337 Split:2662 E2E:60986
E2E:61090 Classify:52803 Shuffle:50 Extract:426 Split:2471 E2E:61090
E2E:61231 Classify:52761 Shuffle:58 Extract:343 Split:2646 E2E:61231
E2E:61237 Classify:52641 Shuffle:50 Extract:425 Split:2791 E2E:61237
E2E:62198 Classify:53805 Shuffle:48 Extract:314 Split:2997 E2E:62198
E2E:60967 Classify:52559 Shuffle:47 Extract:428 Split:2475 E2E:60967
E2E:60236 Classify:52029 Shuffle:49 Extract:343 Split:2426 E2E:60236
E2E:61515 Classify:52973 Shuffle:52 Extract:328 Split:2787 E2E:61515
E2E:60947 Classify:52208 Shuffle:60 Extract:485 Split:2946 E2E:60947
E2E:61536 Classify:53091 Shuffle:131 Extract:390 Split:2617 E2E:61536
E2E:60753 Classify:52506 Shuffle:49 Extract:333 Split:2411 E2E:60753
E2E:61986 Classify:53336 Shuffle:80 Extract:359 Split:2812 E2E:61986
E2E:61566 Classify:52951 Shuffle:54 Extract:310 Split:2708 E2E:61566
E2E:61955 Classify:53490 Shuffle:46 Extract:341 Split:2651 E2E:61955
E2E:61147 Classify:52588 Shuffle:50 Extract:333 Split:2771 E2E:61147
E2E:61866 Classify:53234 Shuffle:51 Extract:364 Split:2826 E2E:61866
E2E:60983 Classify:52657 Shuffle:42 Extract:324 Split:2537 E2E:60983
E2E:61430 Classify:52683 Shuffle:63 Extract:355 Split:2932 E2E:61430
E2E:61875 Classify:53301 Shuffle:64 Extract:336 Split:2756 E2E:61875
E2E:60866 Classify:52369 Shuffle:47 Extract:390 Split:2549 E2E:60866
E2E:60698 Classify:52106 Shuffle:40 Extract:423 Split:2794 E2E:60698
E2E:61165 Classify:52808 Shuffle:49 Extract:341 Split:2612 E2E:61165
E2E:60693 Classify:52871 Shuffle:94 Extract:343 Split:2667 E2E:60693
E2E:60526 Classify:52354 Shuffle:52 Extract:492 Split:2418 E2E:60526
E2E:66977 Classify:58448 Shuffle:73 Extract:317 Split:2651 E2E:66977
E2E:60913 Classify:52728 Shuffle:55 Extract:735 Split:2357 E2E:60913
E2E:60576 Classify:51884 Shuffle:42 Extract:373 Split:2867 E2E:60576
E2E:60999 Classify:52695 Shuffle:50 Extract:419 Split:2528 E2E:60999
E2E:60387 Classify:52382 Shuffle:44 Extract:431 Split:2734 E2E:60387
E2E:61172 Classify:52625 Shuffle:57 Extract:363 Split:2730 E2E:61172
E2E:60269 Classify:51712 Shuffle:59 Extract:330 Split:2704 E2E:60269
E2E:61485 Classify:53155 Shuffle:47 Extract:363 Split:2551 E2E:61485
E2E:60243 Classify:51931 Shuffle:51 Extract:400 Split:2453 E2E:60243
E2E:61218 Classify:52837 Shuffle:102 Extract:314 Split:2605 E2E:61218
E2E:60373 Classify:51985 Shuffle:49 Extract:338 Split:2568 E2E:60373
E2E:60971 Classify:52676 Shuffle:52 Extract:375 Split:2491 E2E:60971
E2E:60614 Classify:52156 Shuffle:54 Extract:809 Split:2578 E2E:60614
E2E:61551 Classify:53075 Shuffle:60 Extract:366 Split:2654 E2E:61551
E2E:61127 Classify:52595 Shuffle:43 Extract:924 Split:2777 E2E:61127
E2E:60124 Classify:51982 Shuffle:42 Extract:770 Split:2330 E2E:60124
E2E:61218 Classify:52567 Shuffle:49 Extract:338 Split:2874 E2E:61218
E2E:60292 Classify:51977 Shuffle:50 Extract:355 Split:2514 E2E:60292
E2E:59897 Classify:51632 Shuffle:52 Extract:294 Split:2506 E2E:59897
E2E:60138 Classify:51849 Shuffle:78 Extract:300 Split:2480 E2E:60138
E2E:56273 Classify:50471 Shuffle:55 Extract:341 Split:2427 E2E:56273
E2E:57167 Classify:50369 Shuffle:59 Extract:317 Split:2527 E2E:57167
E2E:56332 Classify:50365 Shuffle:59 Extract:716 Split:2669 E2E:56332
E2E:57976 Classify:52139 Shuffle:66 Extract:411 Split:2516 E2E:57976
E2E:57273 Classify:51541 Shuffle:55 Extract:319 Split:2420 E2E:57273
E2E:61007 Classify:52360 Shuffle:47 Extract:411 Split:2858 E2E:61007
E2E:56167 Classify:50083 Shuffle:55 Extract:314 Split:2663 E2E:56167
E2E:57814 Classify:51251 Shuffle:146 Extract:843 Split:2614 E2E:57814
E2E:57223 Classify:51182 Shuffle:44 Extract:316 Split:2671 E2E:57223
E2E:55702 Classify:48944 Shuffle:47 Extract:458 Split:3177 E2E:55702
E2E:61775 Classify:53338 Shuffle:50 Extract:328 Split:2709 E2E:61775
E2E:59551 Classify:51385 Shuffle:57 Extract:306 Split:2345 E2E:59551
E2E:60786 Classify:52272 Shuffle:50 Extract:777 Split:2690 E2E:60786
E2E:67511 Classify:58923 Shuffle:69 Extract:280 Split:2795 E2E:67511
E2E:61871 Classify:53700 Shuffle:55 Extract:792 Split:2385 E2E:61871
E2E:60622 Classify:52171 Shuffle:52 Extract:335 Split:2622 E2E:60622
E2E:61247 Classify:52535 Shuffle:53 Extract:354 Split:2859 E2E:61247
E2E:67867 Classify:59265 Shuffle:47 Extract:313 Split:2764 E2E:67867
