E2E:27153 Classify:17191 Shuffle:252 Extract:2139 Split:3668 E2E:27153
E2E:33403 Classify:27500 Shuffle:49 Extract:2473 Split:2329 E2E:33403
E2E:22169 Classify:14305 Shuffle:53 Extract:343 Split:2057 E2E:22169
E2E:21826 Classify:13826 Shuffle:37 Extract:364 Split:2190 E2E:21826
E2E:22251 Classify:14744 Shuffle:44 Extract:326 Split:2581 E2E:22251
E2E:21970 Classify:14010 Shuffle:61 Extract:311 Split:2160 E2E:21970
E2E:22039 Classify:14256 Shuffle:43 Extract:275 Split:2241 E2E:22039
E2E:21855 Classify:13889 Shuffle:50 Extract:502 Split:2184 E2E:21855
E2E:22096 Classify:14128 Shuffle:60 Extract:362 Split:2167 E2E:22096
E2E:21874 Classify:14037 Shuffle:47 Extract:336 Split:2056 E2E:21874
E2E:22302 Classify:13997 Shuffle:51 Extract:345 Split:2364 E2E:22302
E2E:23091 Classify:14057 Shuffle:61 Extract:691 Split:3235 E2E:23091
E2E:22023 Classify:14196 Shuffle:49 Extract:463 Split:2037 E2E:22023
E2E:22219 Classify:14086 Shuffle:55 Extract:312 Split:2196 E2E:22219
E2E:22528 Classify:14449 Shuffle:47 Extract:281 Split:2240 E2E:22528
E2E:22572 Classify:14477 Shuffle:79 Extract:331 Split:2317 E2E:22572
E2E:22533 Classify:14478 Shuffle:49 Extract:308 Split:2429 E2E:22533
E2E:22446 Classify:14433 Shuffle:46 Extract:283 Split:2198 E2E:22446
E2E:22465 Classify:14271 Shuffle:49 Extract:337 Split:2383 E2E:22465
E2E:22377 Classify:14700 Shuffle:44 Extract:609 Split:2356 E2E:22377
E2E:22457 Classify:14375 Shuffle:60 Extract:313 Split:2325 E2E:22457
E2E:22569 Classify:14272 Shuffle:119 Extract:408 Split:2435 E2E:22569
E2E:23244 Classify:15182 Shuffle:43 Extract:323 Split:2285 E2E:23244
E2E:22061 Classify:14364 Shuffle:45 Extract:330 Split:2009 E2E:22061
E2E:22638 Classify:14360 Shuffle:45 Extract:331 Split:2548 E2E:22638
E2E:22416 Classify:14115 Shuffle:49 Extract:551 Split:2521 E2E:22416
E2E:22996 Classify:14469 Shuffle:51 Extract:305 Split:2686 E2E:22996
E2E:22378 Classify:14350 Shuffle:47 Extract:652 Split:2201 E2E:22378
E2E:22650 Classify:14721 Shuffle:54 Extract:325 Split:2438 E2E:22650
E2E:23049 Classify:15173 Shuffle:47 Extract:460 Split:2075 E2E:23049
E2E:22020 Classify:14248 Shuffle:48 Extract:379 Split:2059 E2E:22020
